USERNAME,TIME,REVIEW,text_clean,text_normalized,label
Nur Vira Pratika Garini,6 months ago,Very friendly and helpful,very friendly and helpful,very friendly and helpful,Positif
reviana devi,9 months ago,"The perfume smells good and lasts long, the service is also good, the sales staff are nice, finally there is an offline store so you don't need to buy online anymore so you don't have to wait long",the perfume smells good and lasts long the service is also good the sales staff are nice finally there is an offline store so you don t need to buy online anymore so you don t have to wait long,the perfume smells good and lasts long the service is also good the sales staff are nice finally there is an offline store so you don t need to buy online anymore so you don t have to wait long,Positif
Cilla Soedibjo,6 months ago,The scent lasts a long time. And the service is super duper friendly.,the scent lasts a long time and the service is super duper friendly,the scent lasts a long time and the service is super duper friendly,Positif
Aichen Jaklyn,5 months ago,"Favorite perfume, I really like the long-lasting scent",favorite perfume i really like the long lasting scent,favorite perfume i really like the long lasting scent,Positif
Lisa Aditama,6 months ago,The perfume products are contemporary and the staff are very knowledgeable & friendly.,the perfume products are contemporary and the staff are very knowledgeable friendly,the perfume products are contemporary and the staff are very knowledgeable friendly,Positif
Intan Purnama,6 months ago,"Friendly service and the perfume is delicious, especially the xocolatl one",friendly service and the perfume is delicious especially the xocolatl one,friendly service and the perfume is delicious especially the xocolatl one,Positif
jennifer lynn,8 months ago,"really good, the service is really cool and the sister is really pretty hehehhehehehehe and also really nice!!!!",really good the service is really cool and the sister is really pretty hehehhehehehehe and also really nice,really good the service is really cool and the sister is really pretty hehehhehehehehe and also really nice,Positif
Cicik Rochmatillah,7 months ago,"Friendly service, the available perfume variants are much more complete ðŸ¤© â€¦",friendly service the available perfume variants are much more complete ðÿ â,friendly service the available perfume variants are much more complete ðÿ â,Positif
Desi Wulandari,6 months ago,A local brand that is not inferior to international brands in terms of perfume aroma. Highly recommendedðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦,a local brand that is not inferior to international brands in terms of perfume aroma highly recommendedðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â,a local brand that is not inferior to international brands in terms of perfume aroma highly recommendedðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â,Positif
Uli Ekayuni Simbolon,7 months ago,"Great service, complete range. The advantage of an offline store is that you can find out which scents you like.",great service complete range the advantage of an offline store is that you can find out which scents you like,great service complete range the advantage of an offline store is that you can find out which scents you like,Positif
Annisa Achma (Annisa Achma),9 months ago,"Good service good job, super friendly service ðŸ¤ðŸ¤ðŸ¤ â€¦",good service good job super friendly service ðÿ ðÿ ðÿ â,good service good job super friendly service ðÿ ðÿ ðÿ â,Positif
Meyliana,6 months ago,The scent is unique. It's different from other brands on the market... I really like it.,the scent is unique it s different from other brands on the market i really like it,the scent is unique it s different from other brands on the market i really like it,Positif
zakiyatul fakhiroh,9 months ago,"The service is good and kind, there's no need to ask about the perfume, it definitely smells good and lasts a long time ðŸ‘ðŸ‘ â€¦",the service is good and kind there s no need to ask about the perfume it definitely smells good and lasts a long time ðÿ ðÿ â,the service is good and kind there s no need to ask about the perfume it definitely smells good and lasts a long time ðÿ ðÿ â,Positif
Brandon Sugiono,a month ago,"Good, friendly and good service",good friendly and good service,good friendly and good service,Positif
Sarah Abigail Bennett,2 months ago,the place is clean and smells really nice,the place is clean and smells really nice,the place is clean and smells really nice,Positif
Vinna Lie,5 months ago,Saff n co smells really good..,saff n co smells really good,saff n co smells really good,Positif
yul amiliyah,8 months ago,My favorite perfume! I wear Saff&Co every day.,my favorite perfume i wear saff co every day,my favorite perfume i wear saff co every day,Positif
Ruru Amity,7 months ago,The staff is friendly.,the staff is friendly,the staff is friendly,Positif
Silvia Indriani,7 months ago,highly recommended and the best,highly recommended and the best,highly recommended and the best,Positif
Hiba Anindya,8 months ago,"I'm willing to go up the escalator again because it suddenly smells good when I go down the floor, the Ostara is really delicious luvluv^^",i m willing to go up the escalator again because it suddenly smells good when i go down the floor the ostara is really delicious luvluv,i m willing to go up the escalator again because it suddenly smells good when i go down the floor the ostara is really delicious luvluv,Positif
Imro'atus Sholihah,6 months ago,"The staff is friendly, the perfume is nice",the staff is friendly the perfume is nice,the staff is friendly the perfume is nice,Positif
Mega Lestari,9 months ago,"The aroma is really alluring. The service is really good, friendly, so far, nothing is lacking. Let the stars do the talking.",the aroma is really alluring the service is really good friendly so far nothing is lacking let the stars do the talking,the aroma is really alluring the service is really good friendly so far nothing is lacking let the stars do the talking,Positif
Silvia Tjoa,7 months ago,"The service is really good, just come here if you're looking for perfumeðŸ‘ðŸ‘ðŸ‘ â€¦",the service is really good just come here if you re looking for perfumeðÿ ðÿ ðÿ â,the service is really good just come here if you re looking for perfumeðÿ ðÿ ðÿ â,Positif
Miftakhul Huda,9 months ago,"The perfumes are very varied, long-lasting and durable, the staff are friendly, their smiles are beautiful and sincereðŸ˜ â€¦",the perfumes are very varied long lasting and durable the staff are friendly their smiles are beautiful and sincereðÿ â,the perfumes are very varied long lasting and durable the staff are friendly their smiles are beautiful and sincereðÿ â,Positif
Gusti Ayu Gresia Angelica,8 months ago,"The service is excellent, the lady is very friendly and helpful. I often repurchase here.",the service is excellent the lady is very friendly and helpful i often repurchase here,the service is excellent the lady is very friendly and helpful i often repurchase here,Positif
Aiman Adzman,5 months ago,"Good service, friendly seller.",good service friendly seller,good service friendly seller,Positif
Ulfa,9 months ago,"The perfume smells really good, lasts a long time, the service is friendly, I've been a regular customer of buying perfume here.",the perfume smells really good lasts a long time the service is friendly i ve been a regular customer of buying perfume here,the perfume smells really good lasts a long time the service is friendly i ve been a regular customer of buying perfume here,Positif
Dayita Nareswari,8 months ago,Very good! Great and friendly service!!,very good great and friendly service,very good great and friendly service,Positif
Muhammad Barieq Akbar,9 months ago,"Nice experience, the guys are friendly and very helpful and the booth is also nice, highly recommend coming",nice experience the guys are friendly and very helpful and the booth is also nice highly recommend coming,nice experience the guys are friendly and very helpful and the booth is also nice highly recommend coming,Positif
Ronna Rachma,9 months ago,"A complete range of options, all sniffable. Enjoy your choice. The staff is also friendly. 100/10",a complete range of options all sniffable enjoy your choice the staff is also friendly,a complete range of options all sniffable enjoy your choice the staff is also friendly,Positif
Vina Lie,5 months ago,Saff n co is very fragrant and long lasting,saff n co is very fragrant and long lasting,saff n co is very fragrant and long lasting,Positif
Yohana Harianja,5 months ago,"The service is really great, top notch",the service is really great top notch,the service is really great top notch,Positif
Anis Riani,7 months ago,The most fragrant perfume and good service,the most fragrant perfume and good service,the most fragrant perfume and good service,Positif
Yoga Cakrayadi,9 months ago,"The service is friendly and communicative in explaining the products, the fragrance is okay, all recommended ðŸ‘ â€¦",the service is friendly and communicative in explaining the products the fragrance is okay all recommended ðÿ â,the service is friendly and communicative in explaining the products the fragrance is okay all recommended ðÿ â,Positif
anditta lestari,7 months ago,The perfume is the same..,the perfume is the same,the perfume is the same,Netral
Neila Qolbi,6 months ago,had a good experience here.. sis is goodðŸ¤© â€¦,had a good experience here sis is goodðÿ â,had a good experience here sis is goodðÿ â,Positif
Jeansye yacoba Mumpel,8 months ago,"The lady is very nice, the perfume is really nice",the lady is very nice the perfume is really nice,the lady is very nice the perfume is really nice,Positif
Angelina Infani,6 months ago,"You're so kind, sis ðŸ¥°ðŸ¥°ðŸ¥° â€¦",you re so kind sis ðÿ ðÿ ðÿ â,you re so kind sis ðÿ ðÿ ðÿ â,Netral
Indah Saputri,6 months ago,"good service, brother, friendly",good service brother friendly,good service brother friendly,Positif
Petrosida Gresik,9 months ago,"Saff.co my new favorite perfumeðŸ˜ for athletes, it's really cool, var xocolatl â€¦",saff co my new favorite perfumeðÿ for athletes it s really cool var xocolatl â,saff co my new favorite perfumeðÿ for athletes it s really cool var xocolatl â,Positif
Miahing Anugrah Sentosa,7 months ago,Xocolatl is the best,xocolatl is the best,xocolatl is the best,Positif
Stock Opname DBW,5 months ago,Good and friendly waitersðŸ‘ â€¦,good and friendly waitersðÿ â,good and friendly waitersðÿ â,Positif
Asep (Heryyanto),7 months ago,"Cheerful, friendly in providing service",cheerful friendly in providing service,cheerful friendly in providing service,Positif
fahmida ami,9 months ago,The service is very good! You can try many variants too,the service is very good you can try many variants too,the service is very good you can try many variants too,Positif
Shinta Putri,9 months ago,The sales staff are lovely and very friendly.,the sales staff are lovely and very friendly,the sales staff are lovely and very friendly,Positif
Marisa Pratiwi,8 months ago,"The perfume is delicious, the price is affordable, the service is friendly",the perfume is delicious the price is affordable the service is friendly,the perfume is delicious the price is affordable the service is friendly,Positif
Laily Arustiati,7 months ago,An ok and very friendly experience,an ok and very friendly experience,an ok and very friendly experience,Positif
Vandy Pras,7 months ago,Very fragrant & very cool,very fragrant very cool,very fragrant very cool,Positif
Riskha Nur Ramadhani,4 months ago,very good service,very good service,very good service,Positif
Martias Aulia,6 months ago,The staff is very friendly and informative ðŸ«¶ðŸ» â€¦,the staff is very friendly and informative ðÿ ðÿ â,the staff is very friendly and informative ðÿ ðÿ â,Positif
Lolly Lolly,8 months ago,"Good service, lots of perfume choices",good service lots of perfume choices,good service lots of perfume choices,Positif
Jane Madeleine,8 months ago,I LOVE IT SO MUCH! Her sister is so friendly even though she's just window shoppingðŸ«¶ðŸ» â€¦,i love it so much her sister is so friendly even though she s just window shoppingðÿ ðÿ â,i love it so much her sister is so friendly even though she s just window shoppingðÿ ðÿ â,Positif
salmon travel,6 months ago,It smells delicious polll. Long lasting.. muantepp,it smells delicious poll long lasting muantepp,it smells delicious poll long lasting muantepp,Positif
Novi Sukmasari,9 months ago,A perfume that has a delicious and distinctive aroma. Give it lots of discounts...ðŸ˜ â€¦,a perfume that has a delicious and distinctive aroma give it lots of discounts ðÿ â,a perfume that has a delicious and distinctive aroma give it lots of discounts ðÿ â,Positif
Sophia Kardiana,6 months ago,Her brother is so friendly!,her brother is so friendly,her brother is so friendly,Positif
dian Pratiwi,8 months ago,friendly and fast service,friendly and fast service,friendly and fast service,Positif
radina dewi sariva y,6 months ago,The smell is really strong and long lasting,the smell is really strong and long lasting,the smell is really strong and long lasting,Positif
Valentina Ratri,6 months ago,"Thank you, my mother, it's good ðŸ¥°ðŸ¥° â€¦",thank you my mother it s good ðÿ ðÿ â,thank you my mother it s good ðÿ ðÿ â,Positif
Ivo Nila Permatasari,8 months ago,The older sister is very informative and all the perfumes smell good,the older sister is very informative and all the perfumes smell good,the older sister is very informative and all the perfumes smell good,Positif
Muna S,7 months ago,Loui and the newest sotb!! Sooooo delicious,loui and the newest sotb soo delicious,loui and the newest sotb soo delicious,Positif
Okkse 69,7 months ago,the perfume is long lasting and durable,the perfume is long lasting and durable,the perfume is long lasting and durable,Positif
thalia andani,8 months ago,good serviceðŸ‘ðŸ¼ â€¦,good serviceðÿ ðÿ ¼ â,good serviceðÿ ðÿ ¼ â,Positif
Pucca Juliacia,6 months ago,The service is very good,the service is very good,the service is very good,Positif
Girls Nona,7 months ago,Friendly and satisfying service,friendly and satisfying service,friendly and satisfying service,Positif
02_Aditya Daffa Pratama,8 months ago,"I like every product, the fragrance is really niceðŸ˜­ðŸ˜­ â€¦",i like every product the fragrance is really niceðÿ ðÿ â,i like every product the fragrance is really niceðÿ ðÿ â,Positif
Atria Primanda Argityasari,9 months ago,The staff is very friendly and helpful!! The smell is delicious!!,the staff is very friendly and helpful the smell is delicious,the staff is very friendly and helpful the smell is delicious,Positif
The Jemberyan,8 months ago,great service,great service,great service,Positif
Herna Cynthia,9 months ago,"The smell is delicious, the lady is also friendly and very helpful.",the smell is delicious the lady is also friendly and very helpful,the smell is delicious the lady is also friendly and very helpful,Positif
Aisya Ilyasi Fatmala,6 months ago,Her brother is friendlyðŸ¥¹ðŸ’– â€¦,her brother is friendlyðÿ ¹ðÿ â,her brother is friendlyðÿ ¹ðÿ â,Positif
Tifanny Cornelia,8 months ago,There are lots of nice perfumesâ€ ðŸ¥° â€¦,there are lots of nice perfumesâ ðÿ â,there are lots of nice perfumesâ ðÿ â,Positif
Rachma Sari,9 months ago,The place is easy to find. The staff is friendly and the collection is comprehensive.,the place is easy to find the staff is friendly and the collection is comprehensive,the place is easy to find the staff is friendly and the collection is comprehensive,Positif
Hikmah Sukma,5 months ago,"Friendly service, Ms. Tasya",friendly service ms tasya,friendly service ms tasya,Positif
abu anas,9 months ago,The lady is very friendly and the perfume smells good,the lady is very friendly and the perfume smells good,the lady is very friendly and the perfume smells good,Positif
Faza Alin,7 months ago,good and friendly service,good and friendly service,good and friendly service,Positif
Densy Violina,9 months ago,The aroma is fresh and not nauseating. I haven't tested its durability yet.,the aroma is fresh and not nauseating i haven t tested its durability yet,the aroma is fresh and not nauseating i haven t tested its durability yet,Positif
Dany wijaya,6 months ago,Durable and long-lasting,durable and long lasting,durable and long lasting,Positif
Nur Afidah,6 months ago,The smell is strong and fresh,the smell is strong and fresh,the smell is strong and fresh,Positif
Aidia Creative,6 months ago,Durable and long lasting.. ðŸ‘ðŸ‘ â€¦,durable and long lasting ðÿ ðÿ â,durable and long lasting ðÿ ðÿ â,Positif
Erlin Soetrisno,8 months ago,The perfume smells nice and elegant,the perfume smells nice and elegant,the perfume smells nice and elegant,Positif
Nina Marta,6 months ago,make all people proud,make all people proud,make all people proud,Netral
Tirza Angga Hapsari,7 months ago,The perfume is really nice,the perfume is really nice,the perfume is really nice,Positif
SADNA EGA KRISTANTI,9 months ago,"The service is friendly, it smells delicious",the service is friendly it smells delicious,the service is friendly it smells delicious,Positif
Detia Putri97,9 months ago,Favorite perfume,favorite perfume,favorite perfume,Positif
Erika Fitria Fitria,9 months ago,"There are many fragrance choices, and they last a long time",there are many fragrance choices and they last a long time,there are many fragrance choices and they last a long time,Netral
Adiena chinta Aprivistya,9 months ago,I love it. Her sister is beautiful.,i love it her sister is beautiful,i love it her sister is beautiful,Positif
Daffa Damara,9 months ago,The service is good and the promotions are attractive,the service is good and the promotions are attractive,the service is good and the promotions are attractive,Positif
Kett,8 months ago,The service is good,the service is good,the service is good,Positif
Poetry Niva,6 months ago,His brother is friendly,his brother is friendly,his brother is friendly,Positif
Fayza Intan Sidikoro,9 months ago,Complete variants and friendly service ðŸ‘ðŸ‘ðŸ‘ â€¦,complete variants and friendly service ðÿ ðÿ ðÿ â,complete variants and friendly service ðÿ ðÿ ðÿ â,Positif
livana,8 months ago,her brother is so nice!!!,her brother is so nice,her brother is so nice,Positif
Yen2,8 months ago,The smell lasts ðŸ‘ðŸ» â€¦,the smell lasts ðÿ ðÿ â,the smell lasts ðÿ ðÿ â,Netral
Audry Sitanggang,9 months ago,You can try the good serviceðŸ‘ðŸ‘ðŸ‘ â€¦,you can try the good serviceðÿ ðÿ ðÿ â,you can try the good serviceðÿ ðÿ ðÿ â,Positif
Stevani Yono,8 months ago,The perfume is affordable ðŸ˜† â€¦,the perfume is affordable ðÿ â,the perfume is affordable ðÿ â,Positif
