USERNAME,TIME,REVIEW,text_clean
Admin Bycilla,6 months ago,"The staff is super friendly, the service is great. The perfume smells delicious ðŸ˜ â€¦",the staff is super friendly the service is great the perfume smells delicious ðÿ â
Grace Kandinata,6 months ago,"I really like all the products and the displays are attractive. During testing, they were very helpful and the staff were very helpful and friendly.",i really like all the products and the displays are attractive during testing they were very helpful and the staff were very helpful and friendly
Shabrina RM (Brina),6 months ago,I like almost all the perfume variants ðŸ¥° â€¦,i like almost all the perfume variants ðÿ â
Ifan Rifai Hardiyanto,6 months ago,"The service from the older brothers is the best. Xocolatl is the best perfume, you must buy it next time.",the service from the older brothers is the best xocolatl is the best perfume you must buy it next time
Adellia Devi Rahayu,6 months ago,"The perfume is nice, there are various types of nice scentsðŸ˜ â€¦",the perfume is nice there are various types of nice scentsðÿ â
nurul aida,8 months ago,"The service is super friendly, if we are confused about the perfume, we can ask the sister for recommendations, and the sister will explain in detail ðŸ˜ðŸ˜ðŸ˜ â€¦",the service is super friendly if we are confused about the perfume we can ask the sister for recommendations and the sister will explain in detail ðÿ ðÿ ðÿ â
Almeida Putri,2 months ago,"The ladies are nice, very good deal price ðŸ¤© â€¦",the ladies are nice very good deal price ðÿ â
Lily Soesanti,6 months ago,"I like the scent, it makes me feel confident. The scent is really strong for me.",i like the scent it makes me feel confident the scent is really strong for me
Noviana,8 months ago,"The sister is friendly, the service is good, in short, it is highly recommended, I will definitely always stop by when I need perfume",the sister is friendly the service is good in short it is highly recommended i will definitely always stop by when i need perfume
Intan Herayuningrum,a month ago,A truly long-lasting perfume.,a truly long lasting perfume
Hengky Putra,8 months ago,"For this local brand, it's really the best, especially the minouet SPL from der dor, the price is also pocket-friendly",for this local brand it s really the best especially the minouet spl from der dor the price is also pocket friendly
Resandy Dwi,8 months ago,"There are various kinds of perfume testers available, you can compare the various aromas directly.",there are various kinds of perfume testers available you can compare the various aromas directly
Willy Darmawan Utomo,6 months ago,"It was really helpful to have her older sister take care of us, providing alternatives to suit our tastes. The aroma choices are also unique.",it was really helpful to have her older sister take care of us providing alternatives to suit our tastes the aroma choices are also unique
Ahmad Faisal,5 months ago,The seller is great. Everyone is friendly.,the seller is great everyone is friendly
Pria Wahyu S,6 months ago,The older sister is very informative in explaining to customers and is friendly of course ðŸ˜ â€¦,the older sister is very informative in explaining to customers and is friendly of course ðÿ â
khoirur rahma,8 months ago,"The older sister is very friendly, so you can know the fragrance directly, very informativeðŸ«¶ðŸ» â€¦",the older sister is very friendly so you can know the fragrance directly very informativeðÿ ðÿ â
Amanda,8 months ago,"The service is very friendly, and there are many variants and you can snifffffðŸ¤ â€¦",the service is very friendly and there are many variants and you can sniffðÿ â
natalie rebec4,6 months ago,"The perfume smells good and lasts a long time, I've been trying it since college. The staff is also very helpful and friendly!â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸",the perfume smells good and lasts a long time i ve been trying it since college the staff is also very helpful and friendly â ï â ï â ï â ï â ï
Desan,9 months ago,"Good service regarding perfume explanations, quite understandable. Good âœ¨",good service regarding perfume explanations quite understandable good âœ
sivote1,8 months ago,"The sister is very friendly. She explains things clearly, making me imagine the scent. Recommended, hehe",the sister is very friendly she explains things clearly making me imagine the scent recommended hehe
Nuraini Melika,7 months ago,"So far, it's a perfume brand that people repurchase many times. Complete variantsðŸ‘Œ â€¦",so far it s a perfume brand that people repurchase many times complete variantsðÿ œ â
steph curry,2 months ago,A perfume whose scent never gets boring. Highly recommended!,a perfume whose scent never gets boring highly recommended
wulan nnn,5 months ago,really good serviceâ¤ï¸â€ðŸ”¥ â€¦,really good serviceâ ï â ðÿ â
Richa Putri,7 months ago,"Just wanted to try it, it smells really good, I like itðŸ¥°â¤ï¸ â€¦",just wanted to try it it smells really good i like itðÿ â ï â
Binti Rahmadtul Ulfa,8 months ago,"Very good service, explained in detail. Top dehðŸ”¥ â€¦",very good service explained in detail top dehðÿ â
sabrina amalia,7 months ago,the smell is really nice &&& the outlet is easy to reach!!!,the smell is really nice the outlet is easy to reach
putrianggita dewi,7 months ago,service mbak nyaa ramaahh bgt and ostaraa the bestt âœ¨âœ¨,service mbak nyaa ramaahh bgt and ostaraa the bestt âœ âœ
Tiinz Tata,7 months ago,Friendly service,friendly service
Farhanaz Jihan,2 months ago,"The service is okay, the ladies are very friendly ðŸ¥° â€¦",the service is okay the ladies are very friendly ðÿ â
jelly beans,7 months ago,"The service is friendly, the older sister explains in detail",the service is friendly the older sister explains in detail
Salsa Billa Frisanti Sanin,7 months ago,"I always like the smell, it lasts a long time ðŸ¥° â€¦",i always like the smell it lasts a long time ðÿ â
Kurnia Septi,7 months ago,"I will come back to buy from here, the sister is very friendly.",i will come back to buy from here the sister is very friendly
Dian Trixie,7 months ago,"the employees are friendly, patient in serving ðŸ˜ â€¦",the employees are friendly patient in serving ðÿ â
Divia Bharati,6 months ago,"Xocolatl smells delicious, and the service is good and the staff is super friendly. Thank you.",xocolatl smells delicious and the service is good and the staff is super friendly thank you
Neni Sagita,7 months ago,"Beautiful sister, the service is very friendly,,",beautiful sister the service is very friendly
Albert Yuwono,7 months ago,The scent is long-lasting. Excellent extrait de parfume.,the scent is long lasting excellent extrait de parfume
Ziezie Yua,6 months ago,"The Ostara series, I swear, smells crazy good...",the ostara series i swear smells crazy good
aichen jaklyn,5 months ago,"my favorite perfume every day, it smells good and lasts a long time",my favorite perfume every day it smells good and lasts a long time
Yayuk Sulistin,7 months ago,"The perfume collection is delicious, and there's also a gentle and fragrant body lotion. The service is friendly and very helpful ðŸ˜ â€¦",the perfume collection is delicious and there s also a gentle and fragrant body lotion the service is friendly and very helpful ðÿ â
anisa herliani,9 months ago,"The perfume range is complete, and the scent lasts up to 12 hours. The price is worth it, just like the online price, and the service is good.",the perfume range is complete and the scent lasts up to hours the price is worth it just like the online price and the service is good
Alvi Cahya Lestari,6 months ago,"Great service, friendly. Tried many variants, still friendly ðŸ˜ðŸ˜ â€¦",great service friendly tried many variants still friendly ðÿ ðÿ â
Leyla Puspita Wardhani,8 months ago,"The perfume smells really good, I like it, the service is also friendly and very helpful, good job staff & co.",the perfume smells really good i like it the service is also friendly and very helpful good job staff co
zefanya kurnioseputro,8 months ago,"It smells good, the staff is friendly and helpful",it smells good the staff is friendly and helpful
Nur Vira Pratika Garini,6 months ago,Very friendly and helpful,very friendly and helpful
reviana devi,9 months ago,"The perfume smells good and lasts long, the service is also good, the sales staff are nice, finally there is an offline store so you don't need to buy online anymore so you don't have to wait long",the perfume smells good and lasts long the service is also good the sales staff are nice finally there is an offline store so you don t need to buy online anymore so you don t have to wait long
Cilla Soedibjo,6 months ago,The scent lasts a long time. And the service is super duper friendly.,the scent lasts a long time and the service is super duper friendly
Aichen Jaklyn,5 months ago,"Favorite perfume, I really like the long-lasting scent",favorite perfume i really like the long lasting scent
Lisa Aditama,6 months ago,The perfume products are contemporary and the staff are very knowledgeable & friendly.,the perfume products are contemporary and the staff are very knowledgeable friendly
Intan Purnama,6 months ago,"Friendly service and the perfume is delicious, especially the xocolatl one",friendly service and the perfume is delicious especially the xocolatl one
jennifer lynn,8 months ago,"really good, the service is really cool and the sister is really pretty hehehhehehehehe and also really nice!!!!",really good the service is really cool and the sister is really pretty hehehhehehehehe and also really nice
Cicik Rochmatillah,7 months ago,"Friendly service, the available perfume variants are much more complete ðŸ¤© â€¦",friendly service the available perfume variants are much more complete ðÿ â
Desi Wulandari,6 months ago,A local brand that is not inferior to international brands in terms of perfume aroma. Highly recommendedðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦,a local brand that is not inferior to international brands in terms of perfume aroma highly recommendedðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â
Uli Ekayuni Simbolon,7 months ago,"Great service, complete range. The advantage of an offline store is that you can find out which scents you like.",great service complete range the advantage of an offline store is that you can find out which scents you like
Annisa Achma (Annisa Achma),9 months ago,"Good service good job, super friendly service ðŸ¤ðŸ¤ðŸ¤ â€¦",good service good job super friendly service ðÿ ðÿ ðÿ â
Meyliana,6 months ago,The scent is unique. It's different from other brands on the market... I really like it.,the scent is unique it s different from other brands on the market i really like it
zakiyatul fakhiroh,9 months ago,"The service is good and kind, there's no need to ask about the perfume, it definitely smells good and lasts a long time ðŸ‘ðŸ‘ â€¦",the service is good and kind there s no need to ask about the perfume it definitely smells good and lasts a long time ðÿ ðÿ â
Brandon Sugiono,a month ago,"Good, friendly and good service",good friendly and good service
Sarah Abigail Bennett,2 months ago,the place is clean and smells really nice,the place is clean and smells really nice
Vinna Lie,5 months ago,Saff n co smells really good..,saff n co smells really good
yul amiliyah,8 months ago,My favorite perfume! I wear Saff&Co every day.,my favorite perfume i wear saff co every day
Ruru Amity,7 months ago,The staff is friendly.,the staff is friendly
Silvia Indriani,7 months ago,highly recommended and the best,highly recommended and the best
Hiba Anindya,8 months ago,"I'm willing to go up the escalator again because it suddenly smells good when I go down the floor, the Ostara is really delicious luvluv^^",i m willing to go up the escalator again because it suddenly smells good when i go down the floor the ostara is really delicious luvluv
Imro'atus Sholihah,6 months ago,"The staff is friendly, the perfume is nice",the staff is friendly the perfume is nice
Mega Lestari,9 months ago,"The aroma is really alluring. The service is really good, friendly, so far, nothing is lacking. Let the stars do the talking.",the aroma is really alluring the service is really good friendly so far nothing is lacking let the stars do the talking
Silvia Tjoa,7 months ago,"The service is really good, just come here if you're looking for perfumeðŸ‘ðŸ‘ðŸ‘ â€¦",the service is really good just come here if you re looking for perfumeðÿ ðÿ ðÿ â
Miftakhul Huda,9 months ago,"The perfumes are very varied, long-lasting and durable, the staff are friendly, their smiles are beautiful and sincereðŸ˜ â€¦",the perfumes are very varied long lasting and durable the staff are friendly their smiles are beautiful and sincereðÿ â
Gusti Ayu Gresia Angelica,8 months ago,"The service is excellent, the lady is very friendly and helpful. I often repurchase here.",the service is excellent the lady is very friendly and helpful i often repurchase here
Aiman Adzman,5 months ago,"Good service, friendly seller.",good service friendly seller
Ulfa,9 months ago,"The perfume smells really good, lasts a long time, the service is friendly, I've been a regular customer of buying perfume here.",the perfume smells really good lasts a long time the service is friendly i ve been a regular customer of buying perfume here
Dayita Nareswari,8 months ago,Very good! Great and friendly service!!,very good great and friendly service
Muhammad Barieq Akbar,9 months ago,"Nice experience, the guys are friendly and very helpful and the booth is also nice, highly recommend coming",nice experience the guys are friendly and very helpful and the booth is also nice highly recommend coming
Ronna Rachma,9 months ago,"A complete range of options, all sniffable. Enjoy your choice. The staff is also friendly. 100/10",a complete range of options all sniffable enjoy your choice the staff is also friendly
Vina Lie,5 months ago,Saff n co is very fragrant and long lasting,saff n co is very fragrant and long lasting
Yohana Harianja,5 months ago,"The service is really great, top notch",the service is really great top notch
Anis Riani,7 months ago,The most fragrant perfume and good service,the most fragrant perfume and good service
Yoga Cakrayadi,9 months ago,"The service is friendly and communicative in explaining the products, the fragrance is okay, all recommended ðŸ‘ â€¦",the service is friendly and communicative in explaining the products the fragrance is okay all recommended ðÿ â
anditta lestari,7 months ago,The perfume is the same..,the perfume is the same
Neila Qolbi,6 months ago,had a good experience here.. sis is goodðŸ¤© â€¦,had a good experience here sis is goodðÿ â
Jeansye yacoba Mumpel,8 months ago,"The lady is very nice, the perfume is really nice",the lady is very nice the perfume is really nice
Angelina Infani,6 months ago,"You're so kind, sis ðŸ¥°ðŸ¥°ðŸ¥° â€¦",you re so kind sis ðÿ ðÿ ðÿ â
Indah Saputri,6 months ago,"good service, brother, friendly",good service brother friendly
Petrosida Gresik,9 months ago,"Saff.co my new favorite perfumeðŸ˜ for athletes, it's really cool, var xocolatl â€¦",saff co my new favorite perfumeðÿ for athletes it s really cool var xocolatl â
Miahing Anugrah Sentosa,7 months ago,Xocolatl is the best,xocolatl is the best
Stock Opname DBW,5 months ago,Good and friendly waitersðŸ‘ â€¦,good and friendly waitersðÿ â
Asep (Heryyanto),7 months ago,"Cheerful, friendly in providing service",cheerful friendly in providing service
fahmida ami,9 months ago,The service is very good! You can try many variants too,the service is very good you can try many variants too
Shinta Putri,9 months ago,The sales staff are lovely and very friendly.,the sales staff are lovely and very friendly
Marisa Pratiwi,8 months ago,"The perfume is delicious, the price is affordable, the service is friendly",the perfume is delicious the price is affordable the service is friendly
Laily Arustiati,7 months ago,An ok and very friendly experience,an ok and very friendly experience
Vandy Pras,7 months ago,Very fragrant & very cool,very fragrant very cool
Riskha Nur Ramadhani,4 months ago,very good service,very good service
Martias Aulia,6 months ago,The staff is very friendly and informative ðŸ«¶ðŸ» â€¦,the staff is very friendly and informative ðÿ ðÿ â
Lolly Lolly,8 months ago,"Good service, lots of perfume choices",good service lots of perfume choices
Jane Madeleine,8 months ago,I LOVE IT SO MUCH! Her sister is so friendly even though she's just window shoppingðŸ«¶ðŸ» â€¦,i love it so much her sister is so friendly even though she s just window shoppingðÿ ðÿ â
salmon travel,6 months ago,It smells delicious polll. Long lasting.. muantepp,it smells delicious poll long lasting muantepp
Novi Sukmasari,9 months ago,A perfume that has a delicious and distinctive aroma. Give it lots of discounts...ðŸ˜ â€¦,a perfume that has a delicious and distinctive aroma give it lots of discounts ðÿ â
Sophia Kardiana,6 months ago,Her brother is so friendly!,her brother is so friendly
dian Pratiwi,8 months ago,friendly and fast service,friendly and fast service
radina dewi sariva y,6 months ago,The smell is really strong and long lasting,the smell is really strong and long lasting
Valentina Ratri,6 months ago,"Thank you, my mother, it's good ðŸ¥°ðŸ¥° â€¦",thank you my mother it s good ðÿ ðÿ â
Ivo Nila Permatasari,8 months ago,The older sister is very informative and all the perfumes smell good,the older sister is very informative and all the perfumes smell good
Muna S,7 months ago,Loui and the newest sotb!! Sooooo delicious,loui and the newest sotb soo delicious
Okkse 69,7 months ago,the perfume is long lasting and durable,the perfume is long lasting and durable
thalia andani,8 months ago,good serviceðŸ‘ðŸ¼ â€¦,good serviceðÿ ðÿ ¼ â
Pucca Juliacia,6 months ago,The service is very good,the service is very good
Girls Nona,7 months ago,Friendly and satisfying service,friendly and satisfying service
02_Aditya Daffa Pratama,8 months ago,"I like every product, the fragrance is really niceðŸ˜­ðŸ˜­ â€¦",i like every product the fragrance is really niceðÿ ðÿ â
Atria Primanda Argityasari,9 months ago,The staff is very friendly and helpful!! The smell is delicious!!,the staff is very friendly and helpful the smell is delicious
The Jemberyan,8 months ago,great service,great service
Herna Cynthia,9 months ago,"The smell is delicious, the lady is also friendly and very helpful.",the smell is delicious the lady is also friendly and very helpful
Aisya Ilyasi Fatmala,6 months ago,Her brother is friendlyðŸ¥¹ðŸ’– â€¦,her brother is friendlyðÿ ¹ðÿ â
Tifanny Cornelia,8 months ago,There are lots of nice perfumesâ€ ðŸ¥° â€¦,there are lots of nice perfumesâ ðÿ â
Rachma Sari,9 months ago,The place is easy to find. The staff is friendly and the collection is comprehensive.,the place is easy to find the staff is friendly and the collection is comprehensive
Hikmah Sukma,5 months ago,"Friendly service, Ms. Tasya",friendly service ms tasya
abu anas,9 months ago,The lady is very friendly and the perfume smells good,the lady is very friendly and the perfume smells good
Faza Alin,7 months ago,good and friendly service,good and friendly service
Densy Violina,9 months ago,The aroma is fresh and not nauseating. I haven't tested its durability yet.,the aroma is fresh and not nauseating i haven t tested its durability yet
Dany wijaya,6 months ago,Durable and long-lasting,durable and long lasting
Nur Afidah,6 months ago,The smell is strong and fresh,the smell is strong and fresh
Aidia Creative,6 months ago,Durable and long lasting.. ðŸ‘ðŸ‘ â€¦,durable and long lasting ðÿ ðÿ â
Erlin Soetrisno,8 months ago,The perfume smells nice and elegant,the perfume smells nice and elegant
Nina Marta,6 months ago,make all people proud,make all people proud
Tirza Angga Hapsari,7 months ago,The perfume is really nice,the perfume is really nice
SADNA EGA KRISTANTI,9 months ago,"The service is friendly, it smells delicious",the service is friendly it smells delicious
Detia Putri97,9 months ago,Favorite perfume,favorite perfume
Erika Fitria Fitria,9 months ago,"There are many fragrance choices, and they last a long time",there are many fragrance choices and they last a long time
Adiena chinta Aprivistya,9 months ago,I love it. Her sister is beautiful.,i love it her sister is beautiful
Daffa Damara,9 months ago,The service is good and the promotions are attractive,the service is good and the promotions are attractive
Kett,8 months ago,The service is good,the service is good
Poetry Niva,6 months ago,His brother is friendly,his brother is friendly
Fayza Intan Sidikoro,9 months ago,Complete variants and friendly service ðŸ‘ðŸ‘ðŸ‘ â€¦,complete variants and friendly service ðÿ ðÿ ðÿ â
livana,8 months ago,her brother is so nice!!!,her brother is so nice
Yen2,8 months ago,The smell lasts ðŸ‘ðŸ» â€¦,the smell lasts ðÿ ðÿ â
Audry Sitanggang,9 months ago,You can try the good serviceðŸ‘ðŸ‘ðŸ‘ â€¦,you can try the good serviceðÿ ðÿ ðÿ â
Stevani Yono,8 months ago,The perfume is affordable ðŸ˜† â€¦,the perfume is affordable ðÿ â
Sayyid Az syarif,6 months ago,"The best, second to none",the best second to none
Juwita Itaa,8 months ago,Durable and cheap s,durable and cheap s
Novi Novita,9 months ago,The fragrance lasts long ðŸ˜ â€¦,the fragrance lasts long ðÿ â
senja aprillya,9 months ago,Favorite: Ira Leima âœ¨,favorite ira leima âœ
Arul Khalif,4 months ago,Friendly good,friendly good
William Imanuel Santoso,9 months ago,excellent service,excellent service
Maya Pala,8 months ago,Niceeee and informative to customers ðŸ¤ â€¦,nicee and informative to customers ðÿ â
Gitaefff,6 months ago,It smells good,it smells good
Nesya Thalia,9 months ago,everyone likes the fragrance,everyone likes the fragrance
Yohana Mayza,9 months ago,LOVE IT BGTT,love it bgtt
VALENCIA CHRISTINE,8 months ago,Good service â˜ºï¸,good service â ºï
Anggie Putri,8 months ago,lots of discounts,lots of discounts
Yoanita Ardiati,7 months ago,Good perfume,good perfume
alpha belv,9 months ago,Honeycomb ðŸ”¥ðŸ”¥ðŸ”¥ â€¦,honeycomb ðÿ ðÿ ðÿ â
Mario Thomas,a week ago,"Saff n Co Xocolatl is very pleasant on the nose, top class",saff n co xocolatl is very pleasant on the nose top class
Wiwien Irmawati,a week ago,"Please, if you know the contact information for Heaven Scent Matos, please provide the information.",please if you know the contact information for heaven scent matos please provide the information
Alifiah Manda,3 weeks ago,"Very disappointed with the handling of this store. Just bought it and it was still sealed with a warning on how to open the perfume cap, there was even a bill in the bag. It turns out the spray cap was not properly closed, so it was very â€¦",very disappointed with the handling of this store just bought it and it was still sealed with a warning on how to open the perfume cap there was even a bill in the bag it turns out the spray cap was not properly closed so it was very â
Wisdom Neo,a month ago,Is there linen spray at the off-store?,is there linen spray at the off store
Nova Pramiyanti,3 months ago,"The employees are very friendly and very satisfied with the service, they even gave me free lemon tea while I was waiting ðŸ¥°ðŸ¥° â€¦",the employees are very friendly and very satisfied with the service they even gave me free lemon tea while i was waiting ðÿ ðÿ â
verry yuliasari,5 months ago,The durability is not like before...now the fragrance disappears very quickly...even though it is very intense,the durability is not like before now the fragrance disappears very quickly even though it is very intense
Fransisca Nuning,5 months ago,Located on the 2nd floor of MATOS.,located on the nd floor of matos
Widyana El Choiri,6 months ago,"First time buying perfume here, the lady is very friendlyðŸ˜ â€¦",first time buying perfume here the lady is very friendlyðÿ â
Yelena Swastika,7 months ago,"Honestly, I like some of the variants because I think the scent is ""expensive"", doesn't make me dizzy, and is long-lasting. If I spray it on clothes, the scent still sticks for the intense variant even after washing. Because previously I â€¦",honestly i like some of the variants because i think the scent is expensive doesn t make me dizzy and is long lasting if i spray it on clothes the scent still sticks for the intense variant even after washing because previously i â
Eva Nggeline,7 months ago,"I'm really sorry, I'm giving you a review like this. Brother, the girl is really bitchy, after looking at it for a long time, like whispering, talking to each other, sharing samples while talking to me, it seems like she's not polite, but â€¦",i m really sorry i m giving you a review like this brother the girl is really bitchy after looking at it for a long time like whispering talking to each other sharing samples while talking to me it seems like she s not polite but â
Meilinda Salsa,7 months ago,"didn't last long, bought 2 more",didn t last long bought more
Hafi Atirza,9 months ago,"The bottle cap is hard to open twice, it has been replaced, and when I opened it again, it was broken and couldn't be closed, spilling everywhere. Oh my, please fix the packaging! I went back and forth to the mall so I was far from home, people said not all the packaging was like that, but it was already broken twice at the store too.",the bottle cap is hard to open twice it has been replaced and when i opened it again it was broken and couldn t be closed spilling everywhere oh my please fix the packaging i went back and forth to the mall so i was far from home people said not all the packaging was like that but it was already broken twice at the store too
sellaappelia,a year ago,"When I was traveling, I was given the one above, but I don't know what variant it was, but it was really delicious.",when i was traveling i was given the one above but i don t know what variant it was but it was really delicious
Salsabila Nisa (Salsa),a year ago,"Buy 1 get 1 but the variant you get can't be chosen according to what we want. The one that determines which variant you get is the store. Yesterday I wanted to take the one that she was confident in, but the lady said it couldn't be free, â€¦",buy get but the variant you get can t be chosen according to what we want the one that determines which variant you get is the store yesterday i wanted to take the one that she was confident in but the lady said it couldn t be free â
Tya Ayu Agustin,a year ago,"The packaging only uses plain spunbond, really plain without the words ""heaven scent"" written on it, hahaha",the packaging only uses plain spunbond really plain without the words heaven scent written on it hahaha
Devi Permatasari,a year ago,"I'm disappointed.. I bought the very intense one but after using it for a short time, the smell disappeared.. they say the smell leaves a trace.. it lasts a long time.. but that's all not true.. I'm really disappointed..",i m disappointed i bought the very intense one but after using it for a short time the smell disappeared they say the smell leaves a trace it lasts a long time but that s all not true i m really disappointed
DJ Bellavie,a year ago,"the service is good, the people are friendly, the product is also okay",the service is good the people are friendly the product is also okay
Gadis Fitria sari,a year ago,my favorite perfume...always love the scent,my favorite perfume always love the scent
Faiz lukman Hakim,a year ago,It's not good enough if you respond to customers whose perfume recommendations are also not good enough,it s not good enough if you respond to customers whose perfume recommendations are also not good enough
Hakim yudhistira,a year ago,"The best perfume, the fragrance is great",the best perfume the fragrance is great
nabillaa putrii,a year ago,"good, friendly",good friendly
Sekar Sayekti,a year ago,Great scent,great scent
stvns _ch,a year ago,SO COOLâ¤ï¸â¤ï¸â¤ï¸ THE EMPLOYEES ARE FRIENDLY 10/10,so coolâ ï â ï â ï the employees are friendly
Devrita Irenike,a year ago,Favorite perfume.. There's always a bonus every time you buy at Matos,favorite perfume there s always a bonus every time you buy at matos
ABDUN ABDIERA,a year ago,"The perfume is delicious, best seller, recommended.",the perfume is delicious best seller recommended
salsabila asshifa,a year ago,"I'm so happy to buy perfume here, I can play free games and get free body wash/perfume!!!",i m so happy to buy perfume here i can play free games and get free body wash perfume
aristy juniar,a year ago,"The service is very good, the perfume is also very nice and long lasting",the service is very good the perfume is also very nice and long lasting
nur shinta,a year ago,Always repurchase here!! The fragrance is quite long-lasting with an affordable price.,always repurchase here the fragrance is quite long lasting with an affordable price
Maya dwi Ermiliya,a year ago,"The service is good, the ladies are friendly",the service is good the ladies are friendly
Lovely Cutes,a year ago,"Very friendly staff!! Good service, patiently waiting for customers",very friendly staff good service patiently waiting for customers
Farencia Diah,a year ago,The service is really great.,the service is really great
D Holidays,a year ago,Very fragrant.,very fragrant
Inggar Dwi Pangestu,a year ago,"I really recommend the perfume here, the smell lasts a long time",i really recommend the perfume here the smell lasts a long time
acel.,a year ago,"Friendly service, the perfume is the best âœ¨âœ¨",friendly service the perfume is the best âœ âœ
Abi Wahyu,a year ago,There's no doubt about the heaven scent,there s no doubt about the heaven scent
Muhammad Anugrah Ramadhan,a year ago,The perfume is very good,the perfume is very good
Helma Chika Oktaviani,a year ago,"Just bought perfume here, the service is good, got another free perfume, really cool",just bought perfume here the service is good got another free perfume really cool
Geizha nathania,a year ago,will subscribe to,will subscribe to
Andika Maulana,a year ago,good experience!,good experience
Akhmad Ghordy,a year ago,"Buy 2 perfumes and get 1 free when playing roulette, haha",buy perfumes and get free when playing roulette haha
vgxisbÂ¿,a year ago,The perfume smells long lasting too,the perfume smells long lasting too
Adelia Anindita Sumantri,a year ago,Highly recommended for those looking for perfume!,highly recommended for those looking for perfume
Dyah Wahyu,a year ago,Good service ðŸ”¥ â€¦,good service ðÿ â
Muhammad Nafil,a year ago,"Cool, good and friendly service",cool good and friendly service
chusnatul ulaela,a year ago,"Good service, long lasting perfume",good service long lasting perfume
Nurdiansyah Saputra,a year ago,"Comfortable place, long lasting perfume, good service",comfortable place long lasting perfume good service
Arini Rosyadi,a year ago,"The service is friendly, and the fragrances are very varied. First time buying and getting a promo, yay ðŸ˜ â€¦",the service is friendly and the fragrances are very varied first time buying and getting a promo yay ðÿ â
Nadiippp,a year ago,The smell of the perfume is highly recommendedðŸ˜ â€¦,the smell of the perfume is highly recommendedðÿ â
Febry Arya Setya Wibawa,a year ago,the fragrance lasts long,the fragrance lasts long
JIYAD HILAL HAWARI,a year ago,The aroma is really delicious,the aroma is really delicious
Ainur Azis,a year ago,Always a favorite to buy the best perfume,always a favorite to buy the best perfume
Intan Febrianti,a year ago,"So, so, so disappointed!!!ðŸ¤¬ðŸ¤¬",so so so disappointed ðÿ ðÿ
